Localidad;Departamento;Provincia;Latitud;Longitud;Estado
El Portezuelo;Valle Viejo;Catamarca;-28,4722222;-65,6361111;Conectado
El Pueblito;Tinogasta;Catamarca;-28,289861;-67,162722;Conectado
El Puesto;San Pedro;Jujuy;-24,19847519;-64,78960429;Conectado
El Quebrachal;Anta;Salta;-25,33558333;-64,01981111;Conectado
El Rincon;Caucete;San Juan;-31,6651166;-68,3200833;Conectado
El Salado;Tinogasta;Catamarca;-28,304858;-67,246761;Conectado
El Sauzal cambia por Iltico;Rio Hondo;Santiago del Estero;-27,48831111;-64,58200556;Conectado
El Socorro - Villa Angelica;Pergamino;Buenos Aires;-33,66437778;-60,70798056;Conectado
El Solar;La Paz;Entre Rios;-31,1751;-59,73229444;Conectado
El Sombrero;Empedrado;Corrientes;-27,70127778;-58,76213889;Conectado
El Sosneado;San Rafael;Mendoza;-35,07950833;-69,56686111;Conectado
El Talar;Santa Barbara;Jujuy;-23,557972;-64,361167;Conectado
El Tunal;Metan;Salta;-25,25191944;-64,39253889;Conectado
El Vergel;Lavalle;Mendoza;-32,78555556;-68,61277778;Conectado
Elena;Rio Cuarto;Cordoba;-32,568444;-64,397662;Conectado
Embarcacion;Gral.J. de San Martin;Salta;-23,20344167;-64,09765833;Conectado
Emilio Ayarza;Chivilcoy;Buenos Aires;-34,74722;-60,04021;Conectado
Emilio V. Bunge;General Villegas;Buenos Aires;-34,78573889;-63,19333611;Conectado
Empalme Villa Constitucion;Constitucion;Santa Fe;-33,24963889;-60,36963889;Conectado
Empedrado;Empedrado;Corrientes;-27,9530323;-58,80502364;Conectado
Enrique Carbo;Gualeguaychu;Entre Rios;-33,1529916;-59,2115583;Conectado
Epuyen;Cushamen;Chubut;-42,228372;-71,355086;Conectado
Esperanza;Güer Aike;Santa Cruz;-51,0286111;-70,7772444;Conectado
Esperanza.;Las Colonias;Santa Fe;-31,45403056;-60,94433611;Conectado
Esquel;Futaleufu;Chubut;-42,908185;-71,287467;Conectado
Esquina;Esquina;Corrientes;-30,01525;-59,52844444;Conectado
Estacion Araoz;Leales;Tucuman;-27,05952778;-64,9261;Conectado
Estacion Arroyo Cle;Tala;Entre Rios;-32,63466944;-59,40154444;Conectado
Estacion Atamisqui;Atamisqui;Santiago del Estero;-28,492541;-63,938371;Conectado
Estacion Camps;Diamante;Entre Rios;-32,11102778;-60,22819444;Conectado
Estacion Escriña;Gualeguaychu;Entre Rios;-32,594733;-58,905059;Conectado
Estacion Lazo;Gualeguay;Entre Rios;-32,87055556;-59,42205556;Conectado
Estacion Raices;Villaguay;Entre Rios;-31,91;-59,25994444;Conectado
Estacion Saguier;Castellanos;Santa Fe;-31,31637792;-61,695935;Conectado
Estacion Sosa;Parana;Entre Rios;-31,73835556;-59,91006667;Conectado
Estacion Taboada;San Martin;Santiago del Estero;-28,006944;-63,746944;Conectado
Estacion Tacañitas;General Taboada;Santiago del Estero;-28,62479167;-62,60573333;Conectado
Estancia Grande;Concordia;Entre Rios;-31,482037;-58,175501;Conectado
Estancia San Pedro;Uruguay;Entre Rios;-32,34246944;-58,64832778;Conectado
Eugenio Bustos;San Carlos;Mendoza;-33,77418056;-69,060025;Conectado
Famailla;Famailla;Tucuman;-27,054417;-65,404298;Conectado
Famatanca;Santa Maria;Catamarca;-26,778611;-66,082833;Conectado
Faustino M. Parera;Gualeguaychu;Entre Rios;-32,8037;-58,881475;Conectado
Federal;Federal;Entre Rios;-30,943125;-58,78145;Conectado
Fernandez;Robles;Santiago del Estero;-27,92865;-63,88114444;Conectado
Fighiera;Rosario;Santa Fe;-33,19756944;-60,46653333;Conectado
Fontana;San Fernando;Chaco;-27,418097;-59,032583;Conectado
Fontezuela;Pergamino;Buenos Aires;-33,911901;-60,458912;Conectado
Formosa;Formosa;Formosa;-26,20588889;-58,20706389;Conectado
Fortin Inca;Belgrano;Santiago del Estero;-29,12830833;-61,93815556;Conectado
Fortin Tiburcio;Junin;Buenos Aires;-34,34672;-61,132941;Conectado
Fraile Pintado;Ledesma;Jujuy;-23,94307222;-64,80038889;Conectado
Francisco Madero;Pehuajo;Buenos Aires;-35,84960833;-62,06741111;Conectado
Franck;Las Colonias;Santa Fe;-31,5803333;-60,939;Conectado
Franklin;San Andres de Giles;Buenos Aires;-34,60917778;-59,62936111;Conectado
Fray Luis Beltran;San Lorenzo;Santa Fe;-32,78803611;-60,72895278;Conectado
Freitas San Pedro;Federacion;Entre Rios;-30,75515278;-58,07944722;Conectado
Frias;Choya;Santiago del Estero;-28,62827778;-65,12913889;Conectado
Frontera;Castellanos;Santa Fe;-31,43023611;-62,06516944;Conectado
Fuerte Quemado;Santa Maria;Catamarca;-26,62673527;-66,04818923;Conectado
Funes;Rosario;Santa Fe;-32,924025;-60,78891944;Conectado
Gahan;Salto;Buenos Aires;-34,337277;-60,099472;Conectado
Gaona;Anta;Salta;-25,24143333;-64,03605556;Conectado
Garabato;Vera;Santa Fe;-28,954;-60,14113889;Conectado
General Almada;Gualeguaychu;Entre Rios;-32,83676622;-58,80586185;Conectado
General Alvear;General Alvear;Mendoza;-34,98127778;-67,67274167;Conectado
General Alvear.;Diamante;Entre Rios;-31,95069444;-60,67189722;Conectado
General Alvear..;General Alvear;Buenos Aires;-36,021356;-60,002742;Conectado
General Arenales;General Arenales;Buenos Aires;-34,30466349;-61,30566887;Conectado
General Ballivian;Gral.J. de San Martin;Salta;-22,9361;-63,85884722;Conectado
General Belgrano;General Belgrano;Buenos Aires;-35,76403056;-58,48758889;Conectado
General Cabrera;Juarez Celman;Cordoba;-32,808836;-63,859931;Conectado
General Campos;San Salvador;Entre Rios;-31,52683333;-58,40852778;Conectado
General Conesa;Conesa;Rio Negro;-40,10766667;-64,45175;Conectado
General Daniel Cerri;Bahia Blanca;Buenos Aires;-38,715294;-62,402205;Conectado
General Enrique Mosconi;Gral.J. de San Martin;Salta;-22,59518056;-63,80401944;Conectado
General Fotheringham;Tercero Arriba;Cordoba;-32,32371182;-63,86801486;Conectado
General Galarza;Gualeguay;Entre Rios;-32,72915;-59,39337778;Conectado
General Juan Madariaga;General Madariaga;Buenos Aires;-37,00547222;-57,11680556;Conectado
General La Madrid;General La Madrid;Buenos Aires;-37,24506111;-61,25305833;Conectado
General Lagos;Rosario;Santa Fe;-33,11492588;-60,56397786;Conectado
General Levalle;Presidente Roque Saenz Peña;Cordoba;-34,00695;-63,9153;Conectado
General Paz;Colon;Cordoba;-31,13606389;-64,14015;Conectado
General Racedo;Diamante;Entre Rios;-31,98536667;-60,40798333;Conectado
General Ramirez;Diamante;Entre Rios;-32,16919444;-60,19952778;Conectado
General Rivas;Suipacha;Buenos Aires;-34,6082551;-59,74939136;Conectado
General Rodriguez;General Rodriguez;Buenos Aires;-34,60744167;-58,96486944;Conectado
General Rojo;San Nicolas;Buenos Aires;-33,466036;-60,284136;Conectado
General Vedia;Bermejo;Chaco;-26,93564134;-58,66088071;Conectado
General Villegas;General Villegas;Buenos Aires;-35,046734;-63,015294;Conectado
Gilbert;Gualeguaychu;Entre Rios;-32,537125;-58,93338056;Conectado
Gobernador Castro;San Pedro;Buenos Aires;-33,66151389;-59,87133611;Conectado
Gobernador Costa;Tehuelches;Chubut;-44,054711;-70,609203;Conectado
Gobernador Echague;Tala;Entre Rios;-32,39453333;-59,27514167;Conectado
Gobernador Febre;Nogoya;Entre Rios;-32,47481944;-59,91341944;Conectado
Gobernador Gregores;Rio Chico;Santa Cruz;-48,749;-70,24986111;Conectado
Gobernador Lopez;Leandro N. Alem;Misiones;-27,665374;-55,212966;Conectado
Gobernador Mansilla;Tala;Entre Rios;-32,54772222;-59,35452778;Conectado
Gobernador Sola;Tala;Entre Rios;-32,3375;-59,37033333;Conectado
Golondrina;Vera;Santa Fe;-28,55613889;-60,02488889;Conectado
Gonzalez Moreno;Rivadavia;Buenos Aires;-35,55708212;-63,38075156;Conectado
Gorostiaga;Chivilcoy;Buenos Aires;-34,83892;-59,8672;Conectado
Gowland;Mercedes;Buenos Aires;-34,654556;-59,3595;Conectado
Goya;Goya;Corrientes;-29,16084185;-59,24927597;Conectado
Gramilla;Rio Hondo;Santiago del Estero;-27,300475;-64,60953333;Conectado
Gran China;Jachal;San Juan;-30,119466;-68,72957;Conectado
Gran Guardia;Formosa;Formosa;-25,86412778;-58,88882778;Conectado
Granadero Baigorria;Rosario;Santa Fe;-32,86964722;-60,69940833;Conectado
Granadero Gatica;Moreno;Santiago del Estero;-26,87440556;-62,71571667;Conectado
Gualeguay;Gualeguay;Entre Rios;-33,13193611;-59,31715833;Conectado
Gualeguaychu;Gualeguaychu;Entre Rios;-33,01216944;-58,53351944;Conectado
Guamini;Guamini;Buenos Aires;-37,01524167;-62,42320278;Conectado
Guandacol;Coronel Felipe Varela;La Rioja;-29,52594722;-68,55403333;Conectado
Guardamonte;Tala;Entre Rios;-32,08483333;-59,30802778;Conectado
Guardia Escolta;Belgrano;Santiago del Estero;-28,98586667;-62,12839444;Conectado
Guerrero;Dr. Manuel Belgrano;Jujuy;-24,18575;-65,449944;Conectado
Guerrico;Pergamino;Buenos Aires;-33,672828;-60,401365;Conectado
Hasenkamp;Parana;Entre Rios;-31,50705833;-59,83685556;Conectado
Hasse;Moreno;Santiago del Estero;-27,0706;-62,64085556;Conectado
Henderson;Hipolito Yrigoyen;Buenos Aires;-36,29738889;-61,72328611;Conectado
Hernan Mejia Miraval;2 de Abril;Santiago del Estero;-27,17722222;-62,46916667;Conectado
Hernandez;Nogoya;Entre Rios;-32,33327778;-60,02527778;Conectado
Hernando Ciudad;Tercero Arriba;Cordoba;-32,422836;-63,738783;Conectado
Hernando Silica;Tercero Arriba;Cordoba;-32,55386667;-63,5985;Conectado
Herrera;Uruguay;Entre Rios;-32,43439167;-58,63621667;Conectado
Herrera Vegas;Hipolito Yrigoyen;Buenos Aires;-36,086148;-61,408251;Conectado
Hersilia;San Cristobal;Santa Fe;-30,00253791;-61,83776953;Conectado
Hickman;Gral. J. de San Martin;Salta;-23,21189722;-63,56797222;Conectado
Hilario Ascasubi;Villarino;Buenos Aires;-39,37578096;-62,64847398;Conectado
Hinojo ;Olavarria;Buenos Aires;-36,865305;-60,160785;Conectado
Hipolito Yrigoyen (Iturbe);Humahuaca;Jujuy;-22,97903611;-65,35296944;Conectado
Huacalera;Tilcara;Jujuy;-23,43377778;-65,35138889;Conectado
Huaco;Jachal;San Juan;-30,15745;-68,48480556;Conectado
Hualfin;Belen;Catamarca;-27,223389;-66,833444;Conectado
Huancar;Susques;Jujuy;-23,563375;-66,41061111;Conectado
Huaycama 1;Valle Viejo;Catamarca;-28,513931;-65,672817;Conectado
Huillapima;Capayan;Catamarca;-28,724342;-65,976894;Conectado
Humahuaca;Humahuaca;Jujuy;-23,20077222;-65,35190833;Conectado
Humboldt;Las Colonias;Santa Fe;-31,40010833;-61,08138056;Conectado
Huyamampa;Banda;Santiago del Estero;-27,38525278;-64,29497222;Conectado
Ibarreta;Patiño;Formosa;-25,21574167;-59,85787222;Conectado
Iltico;Chicligasta;Tucuman;-27,33415;-65,643;Conectado
Ing. Guillermo N. Juarez;Matacos;Formosa;-23,89759722;-61,85263333;Conectado
Ingeniero Forres;Robles;Santiago del Estero;-27,87092778;-63,97148889;Conectado
Ingeniero Gustavo Andre;Lavalle;Mendoza;-32,67673611;-68,31643611;Conectado
Ingeniero Jacobacci;25 de Mayo;Rio Negro;-41,33452778;-69,53122222;Conectado
Ingeniero Miguel Sajaroff;Villaguay;Entre Rios;-31,95608333;-58,84758333;Conectado
Ingeniero Thompson;Tres Lomas;Buenos Aires;-36,611728;-62,914335;Conectado
Intiyaco;Vera;Santa Fe;-28,68022222;-60,06902778;Conectado
INVAP;Bariloche;Rio Negro;-41,138025;-71,282162;Conectado
Irala;Bragado;Buenos Aires;-34,7726194;-60,6908111;Conectado
Irazusta;Gualeguaychu;Entre Rios;-32,9275;-58,956;Conectado
Iriarte;General Pinto;Buenos Aires;-34,41622778;-61,928475;Conectado
Ituzaingo;Ituzaingo;Corrientes;-27,5852222;-56,69122222;Conectado
Jacipunco;Belen;Catamarca;-27,242214;-67,005042;Conectado
Jaime Prats;San Rafael;Mendoza;-34,91158611;-67,81687222;Conectado
Jesus Maria;Colon;Cordoba;-30,9861498;-64,08999883;Conectado
Joaquin V. Gonzalez;Anta;Salta;-25,12123889;-64,12917222;Conectado
Jocoli;Las Heras;Mendoza;-32,581314;-68,665292;Conectado
Jorge Born Ex Tomas Jofre;Mercedes;Buenos Aires;-34,70049972;-59,31645255;Conectado
Jose de San Martin;Tehuelches;Chubut;-44,049031;-70,476822;Conectado
Josefina;Castellanos;Santa Fe;-31,40432817;-61,99078971;Conectado
Juan A. de La Peña;Pergamino;Buenos Aires;-33,830587;-60,487968;Conectado
Juan A. Pradere;Patagones;Buenos Aires;-39,60130556;-62,65047222;Conectado
Juan Anchorena;Pergamino;Buenos Aires;-33,925028;-60,382051;Conectado
Juan Bautista Alberdi;Leandro N. Alem;Buenos Aires;-34,4379944;-61,8098167;Conectado
Juan Bautista Alberdi;Paclin;Tucuman;-27,595528;-65,609583;Conectado
Juan Jorba;General Pedernera;San Luis;-33,61403611;-65,27245278;Conectado
Juan Jose Paso;Pehuajo;Buenos Aires;-35,85516231;-62,29805568;Conectado
Juan Pujol;Monte Caseros;Corrientes;-30,41752222;-57,85645556;Conectado
Jubileo;Villaguay;Entre Rios;-31,73344444;-58,63352778;Conectado
Juella;Tilcara;Jujuy;-23,513889;-65,411222;Conectado
Junin;Junin;Buenos Aires;-34,56901944;-60,93161111;Conectado
Junin de Los Andes;Huiliches;Neuquen;-39,94407778;-71,08159722;Conectado
Justo Daract;General Pedernera;San Luis;-33,85925833;-65,18145278;Conectado
Kilometro 115;Vera;Santa Fe;-28,82552778;-60,22394444;Conectado
Kilometro 658;Rio Primero;Cordoba;-31,37046825;-63,53287555;Conectado
Koluel Kaike;Deseado;Santa Cruz;-46,71786389;-68,21626389;Conectado
La Adela;Caleu Caleu;La Pampa;-38,97763056;-64,10068611;Conectado
La Aurora;9 de Julio;Buenos Aires;-35,408035;-61,207458;Conectado
La Aurora;Banda;Santiago del Estero;-27,49713889;-64,23094444;Conectado
La Bajada;Paclin;Catamarca;-28,381619;-65,620669;Conectado
La Banda;Banda;Santiago del Estero;-27,75972222;-64,25972222;Conectado
La Buitrera;Picunches;Neuquen;-38,55124167;-70,37182222;Conectado
La Cañada;Figueroa;Santiago del Estero;-27,70979167;-63,77120556;Conectado
La Carolina;Rosario;Santa Fe;-33,076256;-60,695633;Conectado
La Cocha;La Cocha;Tucuman;-27,76618611;-65,58397222;Conectado
La Colina;General La Madrid;Buenos Aires;-37,360116;-61,540074;Conectado
La Criolla;Concordia;Entre Rios;-31,26883333;-58,11322222;Conectado
La Darsena;Banda;Santiago del Estero;-27,69827778;-64,28813889;Conectado
La Emilia;San Nicolas;Buenos Aires;-33,353608;-60,313197;Conectado
La Escondida;General Donovan;Chaco;-27,104167;-59,446389;Conectado
La Esperanza;San Pedro;Jujuy;-24,227458;-64,841081;Conectado
La Francia;San Justo;Cordoba;-31,40524167;-62,63394444;Conectado
La Gallareta;Vera;Santa Fe;-29,58494167;-60,36773333;Conectado
La Gloria;Catrilo;La Pampa;-36,50798056;-63,74058056;Conectado
La Intermedia;Yavi;Jujuy;-22,42394444;-65,70186111;Conectado
La Leonesa GNA;Bermejo;Chaco;-27,038889;-58,706944;Conectado
La Llave Nueva;San Rafael;Mendoza;-34,63834912;-68,00339614;Conectado
La Luisa;Capitan Sarmiento;Buenos Aires;-34,13006667;-59,93204167;Conectado
La Mendieta;San Pedro;Jujuy;-24,31330786;-64,96585425;Conectado
La Merced;Paclin;Catamarca;-28,153925;-65,660364;Conectado
La Paz;La Paz;Entre Rios;-30,73535;-59,63423611;Conectado
La Picada;Parana;Entre Rios;-31,72625;-60,29427778;Conectado
La Plata;La Plata;Buenos Aires;-34,94259167;-57,97458056;Conectado
La Poma;La Poma;Salta;-24,72485556;-66,20116389;Conectado
La Puntilla;Belen;Catamarca;-27,68553545;-66,99396451;Conectado
La Quiaca;Yavi;Jujuy;-22,10578611;-65,59119167;Conectado
La Reduccion;Lules;Tucuman;-26,96237419;-65,35401505;Conectado
La Rica;Chivilcoy;Buenos Aires;-34,97243244;-59,86162235;Conectado
La Rioja;Capital;La Rioja;-29,42622778;-66,87326389;Conectado
La Rubia;San Cristobal;Santa Fe;-30,1113388;-61,7928666;Conectado
La Sabana;Tapenaga;Chaco;-27,871444;-59,938389;Conectado
La Torre - El Chiflon;Independencia;La Rioja;-30,20471667;-67,60233056;Conectado
La Viña;Paclin;Catamarca;-28,03724065;-65,59662627;Conectado
Laboulaye;Presidente Roque Saenz Peña;Cordoba;-34,12267222;-63,39315278;Conectado
Lago Epuyen;Cushamen;Chubut;-42,218335;-71,416638;Conectado
Lago Puelo;Cushamen;Chubut;-42,02600217;-71,54626756;Conectado
Laguna Alsina;Guamini;Buenos Aires;-36,807011;-62,250944;Conectado
Laguna Blanca;Libertad;Chaco;-27,25429271;-59,23275471;Conectado
Laguna de Lobos;Lobos;Buenos Aires;-35,274742;-59,134056;Conectado
Laguna del Pescado;Victoria;Entre Rios;-32,68591667;-60,01425;Conectado
Laguna Larga;Rio Segundo;Cordoba;-31,77523889;-63,79956111;Conectado
Laguna Vitel;Chascomus;Buenos Aires;-35,54325;-58,137444;Conectado
Laguna Yema;Bermejo;Formosa;-24,25404167;-61,24861389;Conectado
Lapachito;General Donovan;Chaco;-27,15928936;-59,38765397;Conectado
Laplacette;Junin;Buenos Aires;-34,720701;-61,155771;Conectado
Laprida;Laprida;Buenos Aires;-37,546806;-60,812333;Conectado
Laprida;Choya;Santiago del Estero;-28,37824444;-64,52881111;Conectado
Larroque;Gualeguaychu;Entre Rios;-33,04352778;-58,99761111;Conectado
Las Armas;Maipu;Buenos Aires;-37,0842;-57,827286;Conectado
Las Bajadas;Calamuchita;Cordoba;-32,094729;-64,330916;Conectado
Las Catitas;Santa Rosa;Mendoza;-33,30418333;-68,04661389;Conectado
Las Chacritas;9 de Julio;San Juan;-31,598029;-68,397763;Conectado
Las Grutas;San Antonio;Rio Negro;-40,80043611;-65,08338333;Conectado
Las Guachas;Tala;Entre Rios;-32,46772222;-59,17319444;Conectado
Las Lajas;Picunches;Neuquen;-38,51986389;-70,36410278;Conectado
Las Lomitas;Patiño;Formosa;-24,713175;-60,59307222;Conectado
Las Malvinas;San Rafael;Mendoza;-34,83206389;-68,25136111;Conectado
Las Mojarras;Santa Maria;Catamarca;-26,673578;-66,057472;Conectado
Las Moscas;Uruguay;Entre Rios;-32,09055556;-58,95808333;Conectado
Las Palmas;Bermejo;Chaco;-27,049133;-58,681158;Conectado
Las Palmeras;San Cristobal;Santa Fe;-30,62661111;-61,62716667;Conectado
Las Parejas;Belgrano;Santa Fe;-32,67821667;-61,53201944;Conectado
Las Perdices;Tercero Arriba;Cordoba;-32,69505;-63,6996;Conectado
Las Rosas;Belgrano;Santa Fe;-32,48498056;-61,57552222;Conectado
Las Talas - Los Medanos;Caucete;San Juan;-31,59445833;-68,27466944;Conectado
Las Toninas;La Costa;Buenos Aires;-36,488492;-56,701869;Conectado
Las Vertientes;Rio Cuarto;Cordoba;-33,286492;-64,580719;Conectado
Las Violetas;Lavalle;Mendoza;-32,82000278;-68,60543889;Conectado
Lavalle;Lavalle;Corrientes;-29,02874688;-59,178505;Conectado
Lazzarino;General Lopez;Santa Fe;-34,165172;-62,42931;Conectado
Leandro N Alem;Leandro N. Alem;Buenos Aires;-34,5226194;-61,3909916;Conectado
Leandro N. Alem;Leandro N. Alem;Misiones;-27,60495;-55,32146667;Conectado
Lehmann;Castellanos;Santa Fe;-31,12332222;-61,44971944;Conectado
Leon;Dr. Manuel Belgrano;Jujuy;-24,03205;-65,432983;Conectado
Leones;Marcos Juarez;Cordoba;-32,67161389;-62,314725;Conectado
Libaros;Uruguay;Entre Rios;-32,26019395;-58,90904752;Conectado
Libertador General San Martin;Ledesma;Jujuy;-23,81651944;-64,79873889;Conectado
Lima;Zarate;Buenos Aires;-34,04135041;-59,19685753;Conectado
Lincoln;Lincoln;Buenos Aires;-34,868833;-61,5125;Conectado
Liviara;Rinconada;Jujuy;-22,51994011;-66,33756891;Conectado
Lobos;Lobos;Buenos Aires;-35,19045;-59,082083;Conectado
Logroño;9 de Julio;Santa Fe;-29,50286111;-61,69683333;Conectado
Lomas del Rio Lujan;Campana;Buenos Aires;-34,281169;-58,891861;Conectado
Londres;Belen;Catamarca;-27,716881;-67,139125;Conectado
Lonquimay;Catrilo;La Pampa;-36,46733611;-63,6236;Conectado
Lopez;Benito Juarez;Buenos Aires;-37,552344;-59,628589;Conectado
Lopez Lecube;Puan;Buenos Aires;-38,117941;-62,725311;Conectado
Loro Huasi;Santa Maria;Catamarca;-26,736158;-66,053408;Conectado
Los Amores;Vera;Santa Fe;-28,10011111;-59,97966667;Conectado
Los Angeles;Chacabuco;Buenos Aires;-34,45546;-60,17889;Conectado
Los Blancos;Rivadavia;Salta;-23,60638333;-62,59499167;Conectado
Los Cardozos;Capital;Santiago del Estero;-27,93183221;-64,19102208;Conectado
Los Catutos;Zapala;Neuquen;-38,83679051;-70,19519292;Conectado
Los Charruas;Concordia;Entre Rios;-31,16891667;-58,18538889;Conectado
Los Condores;Calamuchita;Cordoba;-32,32466742;-64,28291828;Conectado
Los Conquistadores;Federacion;Entre Rios;-30,58986111;-58,46502778;Conectado
Los Frentones;Almirante Brown;Chaco;-26,41154656;-61,40874265;Conectado
Los Helechos;Obera;Misiones;-27,556114;-55,076642;Conectado
Los Menucos;25 de Mayo;Rio Negro;-40,84488056;-68,09294167;Conectado
Los Molinos;Capital;Santa Fe;-33,10555556;-61,33027778;Conectado
Los Molinos.;Calamuchita;Cordoba;-31,854925;-64,37757778;Conectado
Los Nacimientos;Belen;Catamarca;-27,165444;-66,7355;Conectado
Los Nuñez cambia por Concepcion;Rio Hondo;Santiago del Estero;-27,53529167;-64,52753333;Conectado
Los Pinos;Balcarce;Buenos Aires;-37,943169;-58,324894;Conectado
Los Pirpintos;Copo;Santiago del Estero;-26,13309167;-62,07295556;Conectado
Los Pozos;Ischilin;Cordoba;-30,51999444;-64,253675;Conectado
Los Pumas;Vera;Santa Fe;-29,263925;-61,0172194;Conectado
Los Quiroga;Banda;Santiago del Estero;-27,65276389;-64,35201944;Conectado
Los Ralos;Cruz Alta;Tucuman;-26,88589006;-65,007946;Conectado
Los Sarmientos;Rio Chico;Tucuman;-27,41372087;-65,69543989;Conectado
Los Soria;Banda;Santiago del Estero;-27,61852778;-64,37547222;Conectado
Los Tigres;Copo;Santiago del Estero;-25,90975556;-62,59420556;Conectado
Los Toldos;General Viamonte;Buenos Aires;-35,001583;-61,040231;Conectado
Los Zazos;Tafi del Valle;Tucuman;-26,62228333;-65,87195556;Conectado
Loventue;Loventue;La Pampa;-36,18857778;-65,29173611;Conectado
Lozada;Santa Maria;Cordoba;-31,64772778;-64,09054167;Conectado
Lozano;Dr. Manuel Belgrano;Jujuy;-24,09147206;-65,4043023;Conectado
Luan Toro;Loventue;La Pampa;-36,20550833;-65,09892222;Conectado
Lucas Gonzalez;Nogoya;Entre Rios;-32,38880556;-59,52877222;Conectado
Lucas Monteverde;25 de Mayo;Buenos Aires;-35,485103;-59,989922;Conectado
Lucio V Mansilla;Tulumba;Cordoba;-29,802278;-64,708222;Conectado
Lujan;Lujan;Buenos Aires;-34,579061;-59,109503;Conectado
Macia;Tala;Entre Rios;-32,17038889;-59,39627778;Conectado
Maciel;San Jeronimo;Santa Fe;-32,46122222;-60,89463889;Conectado
Magdala;Pehuajo;Buenos Aires;-36,08532;-61,722633;Conectado
Maimara;Tilcara;Jujuy;-23,635;-65,413889;Conectado
Makalle;General Donovan;Chaco;-27,20838007;-59,28647758;Conectado
Malargüe;Malargüe;Mendoza;-35,46592778;-69,58894722;Conectado
Malena;Rio Cuarto;Cordoba;-33,49053014;-64,43718517;Conectado
Manfredi;Rio Segundo;Cordoba;-31,846425;-63,74310833;Conectado
Manuel Ocampo;Pergamino;Buenos Aires;-33,765386;-60,650369;Conectado
Maquinchao;25 de Mayo;Rio Negro;-41,25723889;-68,70060278;Conectado
Mar Azul;Villa Gesell;Buenos Aires;-37,33247155;-57,04112503;Conectado
Mar Chiquita;Mar Chiquita;Buenos Aires;-37,742686;-57,433025;Conectado
Mar de Cobo;Mar Chiquita;Buenos Aires;-37,773969;-57,453917;Conectado
Mar del Plata;General Pueyrredon;Buenos Aires;-37,9973778;-57,5503917;Conectado
Marayes;Caucete;San Juan;-31,46315;-67,3507833;Conectado
Marcelino Ugarte;9 de Julio;Buenos Aires;-35,351789;-60,745025;Conectado
Marcos Juarez;Marcos Juarez;Cordoba;-32,692886;-62,089983;Conectado
Marcos Paz Silica;Marcos Paz;Buenos Aires;-34,85748611;-58,89065;Conectado
Margarita;Vera;Santa Fe;-29,69028596;-60,24795493;Conectado
Maria Grande;Parana;Entre Rios;-31,66416389;-59,89933611;Conectado
Mariano Benitez;Pergamino;Buenos Aires;-33,70775;-60,584667;Conectado
Mariano H. Alfonso;Pergamino;Buenos Aires;-33,91575;-60,836028;Conectado
Mariano Moreno;Zapala;Neuquen;-38,759059;-70,036807;Conectado
Matara;Juan F. Ibarra;Santiago del Estero;-28,11147222;-63,19130556;Conectado
Mayor Buratovich;Villarino;Buenos Aires;-39,26159167;-62,61654722;Conectado
Mendoza;Capital;Mendoza;-32,88315278;-68,828325;Conectado
Mendoza.;Capital;Mendoza;-32,88315278;-68,828325;Conectado
Mercedes;Mercedes;Buenos Aires;-34,675156;-59,440553;Conectado
Milagro;General Ocampo;La Rioja;-31,00827778;-65,99105833;Conectado
Ministerio de Modernizacion;Ciudad de Buenos Aires;CABA;-34,60133333;-58,37766667;Conectado
Ministro Ramos Mexia;9 de Julio;Rio Negro;-40,5077;-67,26141111;Conectado
Miraflores;Capayan;Catamarca;-28,5979916;-65,9039055;Conectado
Miraflores.;San Pedro;Jujuy;-24,22513889;-64,82227778;Conectado
Misarrumi;Rinconada;Jujuy;-22,25944444;-66,36722222;Conectado
Mision Chaqueña;Gral.J. de San Martin;Salta;-23,25973333;-63,74334167;Conectado
Mision Km 6;Gral.J. de San Martin;Salta;-22,51030556;-63,75091667;Conectado
Mocoreta;Monte Caseros;Corrientes;-30,61536111;-57,97052778;Conectado
Moises Ville;San Cristobal;Santa Fe;-30,72083333;-61,47138889;Conectado
Molinos;Molinos;Salta;-25,43830556;-66,29777778;Conectado
Monigotes;San Cristobal;Santa Fe;-30,49183333;-61,633875;Conectado
Monje;San Jeronimo;Santa Fe;-32,35336111;-60,94336111;Conectado
Monte Coman;San Rafael;Mendoza;-34,59046944;-67,87996111;Conectado
Monte de Los Gauchos;Rio Cuarto;Cordoba;-33,63819444;-63,89060278;Conectado
Monte Flores (Barrio Don Manuel);Rosario;Santa Fe;-33,0800074;-60,63552267;Conectado
Monte Potrero;Paclin;Catamarca;-28,180058;-65,662561;Conectado
Monte Quemado;Copo;Santiago del Estero;-25,81192778;-62,82836667;Conectado
Monte Ralo;Santa Maria;Cordoba;-31,908533;-64,241408;Conectado
Montefiore;9 de Julio;Santa Fe;-29,66583333;-61,86602778;Conectado
Monteros;Monteros;Tucuman;-27,16946944;-65,48888056;Conectado
Morrison;Union;Cordoba;-32,58661944;-62,83454722;Conectado
Morse;Junin;Buenos Aires;-34,758847;-60,840369;Conectado
Nahuel Niyeu;Valcheta;Rio Negro;-40,50434;-66,56407;Conectado
Napaleufu;Balcarce;Buenos Aires;-37,628944;-58,747564;Conectado
Napalpi;25 de Mayo;Chaco;-26,900689;-60,130147;Conectado
Navarro;Navarro;Buenos Aires;-35,008928;-59,281853;Conectado
