Localidad;Departamento;Provincia;Latitud;Longitud;Estado
Carlos Maria Naon;9 de Julio;Buenos Aires;-35,23848167;-60,824309;Conectado
Carlos Tejedor;Carlos Tejedor;Buenos Aires;-35,390125;-62,41308333;Conectado
Carmen de Areco;Carmen de Areco;Buenos Aires;-34,38752778;-59,82036389;Conectado
Carmen de Patagones;Patagones;Buenos Aires;-40,78720833;-62,96825278;Conectado
Carmensa;General Alvear;Mendoza;-35,14803889;-67,65320556;Conectado
Carnerillo;Juarez Celman;Cordoba;-32,91162862;-64,02265127;Conectado
Caseros;Uruguay;Entre Rios;-32,46175;-58,47422222;Conectado
Caseros Centro;Santa Maria;Cordoba;-31,56156389;-64,14769722;Conectado
Casira;Santa Catalina;Jujuy;-21,97830556;-65,89527222;Conectado
Caspichango;Santa Maria;Catamarca;-26,732878;-65,952222;Conectado
Castilla;Chacabuco;Buenos Aires;-34,61167778;-59,89820833;Conectado
Catriel;General Roca;Rio Negro;-37,88302222;-67,80406389;Conectado
Catrilo;Catrilo;La Pampa;-36,407925;-63,41604444;Conectado
Caucete;Caucete;San Juan;-31,64344444;-68,28632778;Conectado
Cazon;Saladillo;Buenos Aires;-35,57500833;-59,66033611;Conectado
Ceibalito;Anta;Salta;-25,110144;-64,274592;Conectado
Centenario;Confluencia;Neuquen;-38,83250833;-68,12815833;Conectado
Ceres;San Cristobal;Santa Fe;-29,86397222;-61,94908333;Conectado
Cerrito;Parana;Entre Rios;-31,57397778;-60,07709167;Conectado
Cerro Azul;Leandro N. Alem;Misiones;-27,63339167;-55,49644722;Conectado
Cerro Negro;Tinogasta;Catamarca;-28,259194;-67,135444;Conectado
Chacabuco;Chacabuco;Buenos Aires;-34,62842222;-60,46585278;Conectado
Chajan;Rio Cuarto;Cordoba;-33,55332896;-65,00178909;Conectado
Chajari;Federacion;Entre Rios;-30,75574444;-57,98850556;Conectado
Chalican;Ledesma;Jujuy;-24,06906667;-64,80698889;Conectado
